BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,LATITUDE,LONGITUDE
Brokered by Magic Of Great Neck Realty Inc,Co-op,729000,2,2,1700.0,Floral Park,"26910 Grand Central Pkwy Apt 12OFloral Park, NY 11005",New York,Queens County,Queens,40.7577991,-73.7159564
Brokered by Douglas Elliman - Bayside,Co-op,199999,1,1,2184.207862,Bayside,"209-10 41st Ave Unit 1FBayside, NY 11361",New York,Queens County,Queens,40.762788,-73.7768814
Brokered by Exp Realty,Multi-family home,600000,4,2,1728.0,Bronx,"4217 Seton AveBronx, NY 10466",United States,New York,Bronx County,40.896179,-73.839487
Brokered by KELLER WILLIAMS REALTY LANDMARK II,House,599000,3,1,1340.0,Jamaica,"111-20 145th StJamaica, NY 11435",United States,New York,Queens County,40.6860975,-73.7998859
Brokered by Voro Llc,Multi-family home,599000,5,2,2268.0,Brooklyn,"716 Decatur StBrooklyn, NY 11233",United States,New York,Kings County,40.6835248,-73.9141078
Brokered by Fillmore Real Estate,Condo,725000,3,2,1185.0,Brooklyn,"1322 E 14th St Apt 4BBrooklyn, NY 11230",New York,Kings County,Brooklyn,40.6172572,-73.9611011
Brokered by BROOKLYN`S 4 U REALTY,Multi-family home,1295000,3,2,2600.0,Brooklyn,"2506 E 65th StBrooklyn, NY 11234",United States,New York,Kings County,40.609816,-73.9084026
Brokered by Berkshire Hathaway HomeServices Cangiano Estates,Multi-family home,798888,3,2,1500.0,Staten Island,"849 Rossville AveStaten Island, NY 10309",United States,New York,Richmond County,40.5474933,-74.2098503
Brokered by J Milo Real Estate,House,529000,3,1,1800.0,Queens,"89-22 210th PlQueens, NY 11427",United States,New York,Queens County,40.7212998,-73.7544395
"Brokered by Homes R Us Realty of NY, Inc.",Multi-family home,999998,3,2,2400.0,Staten Island,"327 Brehaut AveStaten Island, NY 10307",United States,New York,Richmond County,40.5114943,-74.2382685
