TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,SUBLOCALITY,LATITUDE,LONGITUDE,AREA_PER_ROOM,BATH_PER_BED,TOTAL_ROOMS,SQFT_PER_BED,BATH_ROOM_DIFF,SIZE_CATEGORY
Contingent,13.592243248992402,3,4,3510.0,Staten Island,"59 Park PlStaten Island, NY 10301",United States,Richmond County,40.641795,-74.090599,438.75,1.0,7,877.5,1,Large
Pending,14.284889617206765,6,4,3690.0,Other,"33-17 85th StJackson Heights, NY 11372",United States,Queens County,40.7552678,-73.8822127,335.45454545454544,0.5714285714285714,10,527.1428571428571,-2,Large
Contingent,13.451668563394815,3,1,650.0,New York,"217 E 5th St Apt 8New York, NY 10003",New York,New York,40.727533,-73.99017,130.0,0.25,4,162.5,-2,Small
Contingent,13.51440681653079,3,2,1976.0,Staten Island,"391 Fingerboard RdStaten Island, NY 10305",United States,Richmond County,40.6020874,-74.071448,329.3333333333333,0.5,5,494.0,-1,Medium
Co-op,12.703816069256568,1,1,764.0,Brooklyn,"9902 3rd Ave Apt 2EBrooklyn, NY 11209",New York,Brooklyn,40.6141658,-74.0353827,254.66666666666666,0.5,2,382.0,0,Small
Multi-family home,13.527829818844937,4,2,2340.0,Bronx,"4325 Boyd AveBronx, NY 10466",United States,Bronx County,40.8959494,-73.85177,334.2857142857143,0.4,6,468.0,-2,Large
House,14.187074804051692,4,4,1746.0,Brooklyn,"227 90th StBrooklyn, NY 11209",United States,Kings County,40.6212482,-74.0338909,194.0,0.8,8,349.2,0,Medium
Condo,14.508657738524219,3,3,1800.0,Brooklyn,"70 Oceana Dr W Ph 1DBrooklyn, NY 11235",New York,Brooklyn,40.5770098,-73.958346,257.14285714285717,0.75,6,450.0,0,Medium
House,13.710026701366933,4,2,2185.0,Staten Island,"467 Maine AveStaten Island, NY 10314",United States,Richmond County,40.6215947,-74.1404429,312.14285714285717,0.4,6,437.0,-2,Large
Co-op,12.84529412258351,2,1,900.0,Flushing,"78-16 Main St Unit 1KFlushing, NY 11367",New York,Queens,40.7194655,-73.8183058,225.0,0.3333333333333333,3,300.0,-1,Small
Multi-family home,13.686541314323094,4,2,1824.0,Staten Island,"11 Edgewood RdStaten Island, NY 10308",United States,Richmond County,40.5452993,-74.1492507,260.57142857142856,0.4,6,364.8,-2,Medium
